Logging to ./ppo_tensorboard/PPO_3
------------------------------------------
| rollout/                |              |
|    ep_rew_mean          | -42.4       |
| time/                   |             |
|    fps                  | 136         |
|    iterations           | 24          |
|    time_elapsed         | 722         |
|    total_timesteps      | 98304       |
| train/                  |             |
|    approx_kl            | 0.005370567 |
|    clip_fraction        | 0.224       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.3        |
|    explained_variance   | 0.921       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0593     |
|    n_updates            | 230         |
|    policy_gradient_loss | -0.0117     |
|    std                  | 1.02        |
|    value_loss           | 0.153       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -39.6       |
| time/                   |             |
|    fps                  | 135         |
|    iterations           | 28          |
|    time_elapsed         | 844         |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.007974031 |
|    clip_fraction        | 0.277       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.26       |
|    explained_variance   | 0.927       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0529     |
|    n_updates            | 270         |
|    policy_gradient_loss | -0.0153     |
|    std                  | 1           |
|    value_loss           | 0.195       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1e+03        |
|    ep_rew_mean          | -33.7        |
| time/                   |              |
|    fps                  | 135          |
|    iterations           | 32           |
|    time_elapsed         | 968          |
|    total_timesteps      | 131072       |
| train/                  |              |
|    approx_kl            | 0.0076308055 |
|    clip_fraction        | 0.294        |
|    clip_range           | 0.1          |
|    entropy_loss         | -4.26        |
|    explained_variance   | 0.935        |
|    learning_rate        | 0.0003       |
|    loss                 | -0.0124      |
|    n_updates            | 310          |
|    policy_gradient_loss | -0.0143      |
|    std                  | 1            |
|    value_loss           | 0.428        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -26.5       |
| time/                   |             |
|    fps                  | 135         |
|    iterations           | 36          |
|    time_elapsed         | 1091        |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.011899505 |
|    clip_fraction        | 0.353       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.97        |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0482     |
|    n_updates            | 350         |
|    policy_gradient_loss | -0.0144     |
|    std                  | 0.994       |
|    value_loss           | 0.366       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | -8.28       |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 40          |
|    time_elapsed         | 1214        |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.011390116 |
|    clip_fraction        | 0.382       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.21       |
|    explained_variance   | 0.932       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0989      |
|    n_updates            | 390         |
|    policy_gradient_loss | -0.0104     |
|    std                  | 0.991       |
|    value_loss           | 1.38        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 36.6        |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 44          |
|    time_elapsed         | 1336        |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.016535731 |
|    clip_fraction        | 0.414       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.2        |
|    explained_variance   | 0.894       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.369       |
|    n_updates            | 430         |
|    policy_gradient_loss | -0.00162    |
|    std                  | 0.995       |
|    value_loss           | 2.31        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 85.6        |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 48          |
|    time_elapsed         | 1457        |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.012227838 |
|    clip_fraction        | 0.417       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.18       |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.507       |
|    n_updates            | 470         |
|    policy_gradient_loss | -0.00122    |
|    std                  | 0.988       |
|    value_loss           | 2.56        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 140         |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 52          |
|    time_elapsed         | 1582        |
|    total_timesteps      | 212992      |
| train/                  |             |
|    approx_kl            | 0.023652196 |
|    clip_fraction        | 0.497       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.19       |
|    explained_variance   | 0.975       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.503       |
|    n_updates            | 510         |
|    policy_gradient_loss | 0.00107     |
|    std                  | 0.998       |
|    value_loss           | 2.22        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 214         |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 56          |
|    time_elapsed         | 1707        |
|    total_timesteps      | 229376      |
| train/                  |             |
|    approx_kl            | 0.025611704 |
|    clip_fraction        | 0.519       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.22       |
|    explained_variance   | 0.904       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.63        |
|    n_updates            | 550         |
|    policy_gradient_loss | 0.0085      |
|    std                  | 1.01        |
|    value_loss           | 10.3        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 290         |
| time/                   |             |
|    fps                  | 134         |
|    iterations           | 60          |
|    time_elapsed         | 1832        |
|    total_timesteps      | 245760      |
| train/                  |             |
|    approx_kl            | 0.029162249 |
|    clip_fraction        | 0.538       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.23       |
|    explained_variance   | 0.961       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.848       |
|    n_updates            | 590         |
|    policy_gradient_loss | 0.00996     |
|    std                  | 1.01        |
|    value_loss           | 7.56        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 360         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 64          |
|    time_elapsed         | 1958        |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.035280645 |
|    clip_fraction        | 0.585       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.28       |
|    explained_variance   | 0.964       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03        |
|    n_updates            | 630         |
|    policy_gradient_loss | 0.0192      |
|    std                  | 1.04        |
|    value_loss           | 7.91        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 410        |
| time/                   |            |
|    fps                  | 133        |
|    iterations           | 68         |
|    time_elapsed         | 2081       |
|    total_timesteps      | 278528     |
| train/                  |            |
|    approx_kl            | 0.03590835 |
|    clip_fraction        | 0.602      |
|    clip_range           | 0.1        |
|    entropy_loss         | -4.41      |
|    explained_variance   | 0.927      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.23       |
|    n_updates            | 670        |
|    policy_gradient_loss | 0.0232     |
|    std                  | 1.09       |
|    value_loss           | 13         |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 423         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 72          |
|    time_elapsed         | 2206        |
|    total_timesteps      | 294912      |
| train/                  |             |
|    approx_kl            | 0.021743622 |
|    clip_fraction        | 0.49        |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.54       |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.865       |
|    n_updates            | 710         |
|    policy_gradient_loss | 0.0126      |
|    std                  | 1.14        |
|    value_loss           | 9.4         |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 437        |
| time/                   |            |
|    fps                  | 133        |
|    iterations           | 76         |
|    time_elapsed         | 2331       |
|    total_timesteps      | 311296     |
| train/                  |            |
|    approx_kl            | 0.02722641 |
|    clip_fraction        | 0.489      |
|    clip_range           | 0.1        |
|    entropy_loss         | -4.57      |
|    explained_variance   | 0.949      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.486      |
|    n_updates            | 750        |
|    policy_gradient_loss | 0.00833    |
|    std                  | 1.15       |
|    value_loss           | 6.4        |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 419         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 80          |
|    time_elapsed         | 2456        |
|    total_timesteps      | 327680      |
| train/                  |             |
|    approx_kl            | 0.017164629 |
|    clip_fraction        | 0.438       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.62       |
|    explained_variance   | 0.953       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.413       |
|    n_updates            | 790         |
|    policy_gradient_loss | 0.0075      |
|    std                  | 1.17        |
|    value_loss           | 4.87        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 375         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 84          |
|    time_elapsed         | 2578        |
|    total_timesteps      | 344064      |
| train/                  |             |
|    approx_kl            | 0.015784102 |
|    clip_fraction        | 0.366       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.68       |
|    explained_variance   | 0.971       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0803      |
|    n_updates            | 830         |
|    policy_gradient_loss | 0.00113     |
|    std                  | 1.22        |
|    value_loss           | 1.67        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 336         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 88          |
|    time_elapsed         | 2701        |
|    total_timesteps      | 360448      |
| train/                  |             |
|    approx_kl            | 0.023753855 |
|    clip_fraction        | 0.488       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.76       |
|    explained_variance   | 0.915       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.54        |
|    n_updates            | 870         |
|    policy_gradient_loss | 0.0145      |
|    std                  | 1.24        |
|    value_loss           | 10.8        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 327        |
| time/                   |            |
|    fps                  | 133        |
|    iterations           | 92         |
|    time_elapsed         | 2825       |
|    total_timesteps      | 376832     |
| train/                  |            |
|    approx_kl            | 0.02391373 |
|    clip_fraction        | 0.452      |
|    clip_range           | 0.1        |
|    entropy_loss         | -4.79      |
|    explained_variance   | 0.957      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.446      |
|    n_updates            | 910        |
|    policy_gradient_loss | 0.00524    |
|    std                  | 1.26       |
|    value_loss           | 6.83       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 328         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 96          |
|    time_elapsed         | 2947        |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.025789615 |
|    clip_fraction        | 0.507       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.83       |
|    explained_variance   | 0.93        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.795       |
|    n_updates            | 950         |
|    policy_gradient_loss | 0.0188      |
|    std                  | 1.28        |
|    value_loss           | 11.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 355         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 100         |
|    time_elapsed         | 3068        |
|    total_timesteps      | 409600      |
| train/                  |             |
|    approx_kl            | 0.029055553 |
|    clip_fraction        | 0.512       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.91       |
|    explained_variance   | 0.944       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.905       |
|    n_updates            | 990         |
|    policy_gradient_loss | 0.0102      |
|    std                  | 1.31        |
|    value_loss           | 11.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 397         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 104         |
|    time_elapsed         | 3194        |
|    total_timesteps      | 425984      |
| train/                  |             |
|    approx_kl            | 0.028269917 |
|    clip_fraction        | 0.486       |
|    clip_range           | 0.1         |
|    entropy_loss         | -4.97       |
|    explained_variance   | 0.958       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.1         |
|    n_updates            | 1030        |
|    policy_gradient_loss | 0.00746     |
|    std                  | 1.35        |
|    value_loss           | 6.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 447         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 108         |
|    time_elapsed         | 3320        |
|    total_timesteps      | 442368      |
| train/                  |             |
|    approx_kl            | 0.022598162 |
|    clip_fraction        | 0.508       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.03       |
|    explained_variance   | 0.959       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.837       |
|    n_updates            | 1070        |
|    policy_gradient_loss | 0.00997     |
|    std                  | 1.38        |
|    value_loss           | 7.8         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 996         |
|    ep_rew_mean          | 509         |
| time/                   |             |
|    fps                  | 133         |
|    iterations           | 112         |
|    time_elapsed         | 3447        |
|    total_timesteps      | 458752      |
| train/                  |             |
|    approx_kl            | 0.021539714 |
|    clip_fraction        | 0.522       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.07       |
|    explained_variance   | 0.878       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.72        |
|    n_updates            | 1110        |
|    policy_gradient_loss | 0.017       |
|    std                  | 1.4         |
|    value_loss           | 16.7        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 996         |
|    ep_rew_mean          | 519         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 116         |
|    time_elapsed         | 3572        |
|    total_timesteps      | 475136      |
| train/                  |             |
|    approx_kl            | 0.021575412 |
|    clip_fraction        | 0.526       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.13       |
|    explained_variance   | 0.92        |
|    learning_rate        | 0.0003      |
|    loss                 | 1.06        |
|    n_updates            | 1150        |
|    policy_gradient_loss | 0.0158      |
|    std                  | 1.44        |
|    value_loss           | 8.97        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 996         |
|    ep_rew_mean          | 577         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 120         |
|    time_elapsed         | 3697        |
|    total_timesteps      | 491520      |
| train/                  |             |
|    approx_kl            | 0.020580662 |
|    clip_fraction        | 0.517       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.19       |
|    explained_variance   | 0.926       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.65        |
|    n_updates            | 1190        |
|    policy_gradient_loss | 0.0119      |
|    std                  | 1.47        |
|    value_loss           | 8.77        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 989         |
|    ep_rew_mean          | 609         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 124         |
|    time_elapsed         | 3821        |
|    total_timesteps      | 507904      |
| train/                  |             |
|    approx_kl            | 0.021256026 |
|    clip_fraction        | 0.516       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.26       |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.44        |
|    n_updates            | 1230        |
|    policy_gradient_loss | 0.0132      |
|    std                  | 1.52        |
|    value_loss           | 13.6        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 983        |
|    ep_rew_mean          | 645        |
| time/                   |            |
|    fps                  | 132        |
|    iterations           | 128        |
|    time_elapsed         | 3946       |
|    total_timesteps      | 524288     |
| train/                  |            |
|    approx_kl            | 0.02605351 |
|    clip_fraction        | 0.529      |
|    clip_range           | 0.1        |
|    entropy_loss         | -5.32      |
|    explained_variance   | 0.896      |
|    learning_rate        | 0.0003     |
|    loss                 | 1.32       |
|    n_updates            | 1270       |
|    policy_gradient_loss | 0.0114     |
|    std                  | 1.54       |
|    value_loss           | 14.4       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 983         |
|    ep_rew_mean          | 662         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 132         |
|    time_elapsed         | 4074        |
|    total_timesteps      | 540672      |
| train/                  |             |
|    approx_kl            | 0.021436453 |
|    clip_fraction        | 0.545       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.42       |
|    explained_variance   | 0.929       |
|    learning_rate        | 0.0003      |
|    loss                 | 1           |
|    n_updates            | 1310        |
|    policy_gradient_loss | 0.0157      |
|    std                  | 1.61        |
|    value_loss           | 14.6        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 987        |
|    ep_rew_mean          | 639        |
| time/                   |            |
|    fps                  | 132        |
|    iterations           | 136        |
|    time_elapsed         | 4202       |
|    total_timesteps      | 557056     |
| train/                  |            |
|    approx_kl            | 0.02041139 |
|    clip_fraction        | 0.487      |
|    clip_range           | 0.1        |
|    entropy_loss         | -5.53      |
|    explained_variance   | 0.945      |
|    learning_rate        | 0.0003     |
|    loss                 | 2.13       |
|    n_updates            | 1350       |
|    policy_gradient_loss | 0.0087     |
|    std                  | 1.67       |
|    value_loss           | 15.3       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 980         |
|    ep_rew_mean          | 656         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 140         |
|    time_elapsed         | 4330        |
|    total_timesteps      | 573440      |
| train/                  |             |
|    approx_kl            | 0.020376794 |
|    clip_fraction        | 0.517       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.61       |
|    explained_variance   | 0.896       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.18        |
|    n_updates            | 1390        |
|    policy_gradient_loss | 0.0133      |
|    std                  | 1.72        |
|    value_loss           | 19.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 978         |
|    ep_rew_mean          | 672         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 144         |
|    time_elapsed         | 4454        |
|    total_timesteps      | 589824      |
| train/                  |             |
|    approx_kl            | 0.024883442 |
|    clip_fraction        | 0.5         |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.68       |
|    explained_variance   | 0.834       |
|    learning_rate        | 0.0003      |
|    loss                 | 2.14        |
|    n_updates            | 1430        |
|    policy_gradient_loss | 0.0142      |
|    std                  | 1.77        |
|    value_loss           | 14.6        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 982        |
|    ep_rew_mean          | 680        |
| time/                   |            |
|    fps                  | 132        |
|    iterations           | 148        |
|    time_elapsed         | 4582       |
|    total_timesteps      | 606208     |
| train/                  |            |
|    approx_kl            | 0.02613503 |
|    clip_fraction        | 0.48       |
|    clip_range           | 0.1        |
|    entropy_loss         | -5.75      |
|    explained_variance   | 0.92       |
|    learning_rate        | 0.0003     |
|    loss                 | 0.871      |
|    n_updates            | 1470       |
|    policy_gradient_loss | 0.00987    |
|    std                  | 1.82       |
|    value_loss           | 11.6       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 983         |
|    ep_rew_mean          | 668         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 152         |
|    time_elapsed         | 4710        |
|    total_timesteps      | 622592      |
| train/                  |             |
|    approx_kl            | 0.022081627 |
|    clip_fraction        | 0.523       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.84       |
|    explained_variance   | 0.812       |
|    learning_rate        | 0.0003      |
|    loss                 | 3.14        |
|    n_updates            | 1510        |
|    policy_gradient_loss | 0.0152      |
|    std                  | 1.89        |
|    value_loss           | 24.8        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 983         |
|    ep_rew_mean          | 666         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 156         |
|    time_elapsed         | 4834        |
|    total_timesteps      | 638976      |
| train/                  |             |
|    approx_kl            | 0.020491727 |
|    clip_fraction        | 0.47        |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.88       |
|    explained_variance   | 0.922       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.82        |
|    n_updates            | 1550        |
|    policy_gradient_loss | 0.0106      |
|    std                  | 1.92        |
|    value_loss           | 16.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 983         |
|    ep_rew_mean          | 658         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 160         |
|    time_elapsed         | 4961        |
|    total_timesteps      | 655360      |
| train/                  |             |
|    approx_kl            | 0.015443683 |
|    clip_fraction        | 0.436       |
|    clip_range           | 0.1         |
|    entropy_loss         | -5.95       |
|    explained_variance   | 0.949       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.436       |
|    n_updates            | 1590        |
|    policy_gradient_loss | 0.00756     |
|    std                  | 1.95        |
|    value_loss           | 10.2        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 990         |
|    ep_rew_mean          | 652         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 164         |
|    time_elapsed         | 5085        |
|    total_timesteps      | 671744      |
| train/                  |             |
|    approx_kl            | 0.015373086 |
|    clip_fraction        | 0.41        |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.03       |
|    explained_variance   | 0.95        |
|    learning_rate        | 0.0003      |
|    loss                 | 0.84        |
|    n_updates            | 1630        |
|    policy_gradient_loss | 0.00015     |
|    std                  | 2.02        |
|    value_loss           | 10.1        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 992         |
|    ep_rew_mean          | 624         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 168         |
|    time_elapsed         | 5210        |
|    total_timesteps      | 688128      |
| train/                  |             |
|    approx_kl            | 0.014717506 |
|    clip_fraction        | 0.431       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.1        |
|    explained_variance   | 0.928       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.25        |
|    n_updates            | 1670        |
|    policy_gradient_loss | 0.00718     |
|    std                  | 2.07        |
|    value_loss           | 20.6        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 983         |
|    ep_rew_mean          | 603         |
| time/                   |             |
|    fps                  | 132         |
|    iterations           | 172         |
|    time_elapsed         | 5336        |
|    total_timesteps      | 704512      |
| train/                  |             |
|    approx_kl            | 0.020543095 |
|    clip_fraction        | 0.527       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.17       |
|    explained_variance   | 0.911       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.82        |
|    n_updates            | 1710        |
|    policy_gradient_loss | 0.0155      |
|    std                  | 2.12        |
|    value_loss           | 16.9        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 989         |
|    ep_rew_mean          | 587         |
| time/                   |             |
|    fps                  | 131         |
|    iterations           | 176         |
|    time_elapsed         | 5463        |
|    total_timesteps      | 720896      |
| train/                  |             |
|    approx_kl            | 0.013847278 |
|    clip_fraction        | 0.445       |
|    clip_range           | 0.1         |
|    entropy_loss         | -6.22       |
|    explained_variance   | 0.941       |
|    learning_rate        | 0.0003      |
|    loss                 | 1.07        |
|    n_updates            | 1750        |
|    policy_gradient_loss | 0.00776     |
|    std                  | 2.16        |
|    value_loss           | 15.3        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 988        |
|    ep_rew_mean          | 597        |
| time/                   |            |
|    fps                  | 131        |
|    iterations           | 180        |
|    time_elapsed         | 5589       |
|    total_timesteps      | 737280     |
| train/                  |            |
|    approx_kl            | 0.01497926 |
|    clip_fraction        | 0.437      |
|    clip_range           | 0.1        |
|    entropy_loss         | -6.3       |
